dataset_index,n_clusters,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,Ward_Agglomerative_Clustering,Complete_Agglomerative_Clustering,Average_Agglomerative_Clustering,Single_Agglomerative_Clustering,K_Means,Mini_Batch_K_Means,Spectral_Clustering,Affinity_Propagation,Gaussian_Mixture
0,2,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
0,3,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,7.0,9.0,5.0,2.0,3.0,8.0,4.0,1.0,6.0
0,4,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,5.0,9.0,4.0,2.0,6.0,7.0,3.0,1.0,8.0
0,5,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,6.0,8.0,3.0,2.0,7.0,5.0,4.0,1.0,9.0
0,6,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,5.0,6.0,4.0,3.0,7.0,8.0,2.0,1.0,9.0
0,7,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,3.0,7.0,4.0,5.0,6.0,8.0,2.0,1.0,9.0
0,8,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,2.0,4.0,5.0,3.0,6.0,8.0,9.0,1.0,7.0
0,9,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,2.0,8.0,5.0,4.0,3.0,7.0,6.0,1.0,9.0
0,10,0.4519595877027088,0.12218063575757633,0.3495434676225209,0.03357895143091312,-1.910781399764373,0.20004041220448576,0.29258436047686404,0.012325722368155182,0.0,0.0,0.00020206102242877348,0.020610224287734895,0.22347949080622348,0.22913719943422914,0.021620529399878765,0.5433420893109719,0.4566579106890281,0.0,0.0,3.0,7.0,5.0,4.0,6.0,9.0,2.0,1.0,8.0
1,2,0.4820709992785442,0.0823874421913998,0.2870321274550983,0.0373634129930195,-1.6953454801837653,0.02950090927460093,0.18811881188118812,0.23802788442109518,0.04849464538290564,0.0018185492018589614,0.016569003839159425,0.09254394827237826,0.2248939179632249,0.1396241664982825,0.02040816326530612,0.5657708628005658,0.43422913719943423,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0
